Descrição;Cód. Contabil;Fonte;Órgão;Rubrica;Aplicação;Valor Orçado Atualizado;Valor Orçado;Valor Creditado;Valor Debitado;Valor Arrecadado
"1 - Tesouro";"4.4.2.4.1.05.00";"1 - TESOURO";"-";"149";"1100000 - GERAL";"1.260.000,00";"1.260.000,00";"3.200.933,48";"0,00";"661.365,16"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"-";"298";"1100000 - GERAL";"0,00";"0,00";"2.045,46";"0,00";"2.045,46"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1084";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"-";"287";"2000000 - EDUCACAO";"0,00";"0,00";"5.111.307,12";"0,00";"1.277.826,78"
"1 - Tesouro";"4.5.2.4.5.00.00";"1 - TESOURO";"-";"83";"3120176 - REC. TESOURO COVID 19 ACOES SES - DEMANDA JUDICIAL";"1.000,00";"1.000,00";"1.150,00";"0,00";"350,00"
"1 - Tesouro";"4.5.3.2.1.99.00";"1 - TESOURO";"26 - SECRETARIA DE OBRAS";"1145";"1000032 - FUNDO MUN GEST REC ADV DA PS AG E ESG SAN TTE";"6.530.000,00";"6.530.000,00";"10.685.757,54";"0,00";"4.155.757,54"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"30";"2110000 - REMUNERACAO DE APLICACOES FINANCEIRAS";"0,00";"0,00";"1.098,90";"4,62";"1.094,28"
"1 - Tesouro";"4.6.2.1.1.99.00";"1 - TESOURO";"-";"1668";"1200000 - ALIENACAO DE BENS";"140.400.000,00";"140.400.000,00";"140.400.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"1992";"1000000 - GERAL TOTAL";"0,00";"0,00";"75.645,56";"10.303,20";"100.709,46"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"-";"96";"1000101 - SECRETARIA DE MOBILIDADE URBANA-SEMOB";"300.000,00";"300.000,00";"357.782,54";"0,00";"57.782,54"
"1 - Tesouro";"3.5.2.2.4.00.00";"1 - TESOURO";"-";"178";"2000000 - EDUCACAO";"-65.000.000,00";"-65.000.000,00";"55.787.793,85";"65.000.000,00";"-55.787.793,85"
"1 - Tesouro";"4.3.3.1.1.23.00";"1 - TESOURO";"22 - SEC. DE DESENVOLVIMENTO, INOVAÇÃO E TURISMO";"1903";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"2.300.000,00";"2.300.000,00";"6.696.498,25";"0,00";"4.423.377,25"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"16";"2210000 - REMUNERACAO DE APLICACOES FINANCEIRAS";"0,00";"0,00";"3.420,56";"0,00";"3.420,56"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1144";"1100000 - GERAL";"200.000,00";"200.000,00";"340.534,99";"30,77";"149.698,09"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"71";"1100000 - GERAL";"2.000.000,00";"2.000.000,00";"3.680.194,17";"444,80";"1.701.744,54"
"1 - Tesouro";"4.5.3.2.1.99.00";"1 - TESOURO";"20 - SECRETARIA DE ESPORTES, LAZER E QUALIDADE DE VIDA";"1847";"1000005 - FUNDO DE ASSISTENCIA ESPORTE AMADOR DE TAUBATE";"602.000,00";"602.000,00";"1.193.156,00";"0,00";"684.959,00"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"676";"2000000 - EDUCACAO";"10.500.000,00";"10.500.000,00";"72.985.613,90";"112,56";"7.746.375,34"
"1 - Tesouro";"4.1.1.2.1.03.02";"1 - TESOURO";"-";"4";"2000000 - EDUCACAO";"1.675.000,00";"1.675.000,00";"13.196.122,59";"7.471,68";"3.005.050,96"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"162";"2000000 - EDUCACAO";"11.750,00";"11.750,00";"64.980,80";"0,00";"6.039,63"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"2";"1100000 - GERAL";"12.259.200,00";"12.259.200,00";"35.712.422,35";"13.593,59";"9.162.072,79"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1";"3100000 - SAUDE - GERAL";"22.738.050,00";"22.738.050,00";"273.404.146,02";"388.647,97";"18.232.266,67"
"1 - Tesouro";"4.5.2.1.4.03.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"133";"2000000 - EDUCACAO";"475.000,00";"475.000,00";"3.949.034,34";"0,00";"512.258,59"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1051";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"37";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"57,40";"0,00";"120,54"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"1993";"1000000 - GERAL TOTAL";"0,00";"0,00";"50.000,00";"50.000,00";"0,00"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1784";"1100000 - GERAL";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"-";"287";"1100000 - GERAL";"0,00";"0,00";"5.111.307,12";"0,00";"3.833.480,34"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"37";"5000016 - FUNDO MUNIC HABITACAO INTERESSE SOCIAL - FHIS - STN 665";"0,00";"0,00";"57,40";"0,00";"51,66"
"1 - Tesouro";"3.5.2.2.4.00.00";"1 - TESOURO";"-";"180";"2000000 - EDUCACAO";"-380.000,00";"-380.000,00";"409.806,90";"380.000,00";"-409.806,90"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1768";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"109.208,60";"727,75";"108.480,85"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"-";"181";"2000000 - EDUCACAO";"0,00";"0,00";"231,09";"0,00";"231,09"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1092";"1100000 - GERAL";"1.000,00";"1.000,00";"160.866,72";"0,00";"161.123,95"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1417";"1100000 - GERAL";"2.750.000,00";"2.750.000,00";"3.415.160,16";"106.486,25";"562.661,82"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"87";"1100000 - GERAL";"80.000,00";"80.000,00";"131.891,13";"0,00";"66.121,85"
"1 - Tesouro";"4.3.3.1.1.37.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"82";"1100000 - GERAL";"1.000,00";"1.000,00";"2.644,38";"0,00";"3.582,30"
"1 - Tesouro";"3.5.2.2.4.00.00";"1 - TESOURO";"-";"179";"2000000 - EDUCACAO";"-21.200.000,00";"-21.200.000,00";"18.328.030,65";"21.209.706,67";"-18.318.323,98"
"1 - Tesouro";"4.5.4.1.1.99.00";"1 - TESOURO";"26 - SECRETARIA DE OBRAS";"1486";"1000052 - BOLSA DE ESTUDO SIMUBE";"300.000,00";"300.000,00";"705.808,10";"0,00";"477.378,13"
"1 - Tesouro";"4.4.2.4.1.99.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"157";"1100000 - GERAL";"0,00";"0,00";"6.181,92";"0,00";"6.181,92"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1416";"1100000 - GERAL";"60.000,00";"60.000,00";"78.125,03";"0,00";"108.018,68"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"681";"1100000 - GERAL";"50.000,00";"50.000,00";"89.840,55";"0,00";"49.865,61"
